id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
68611,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,1,"""EFE News Service,2013-02-21,Gunmen kill 6 members of family in Mexico""",EFE News Service,2013-02-21,Gunmen kill 6 members of family in Mexico,,1,Monterrey town,,Nuevo León state,Monterrey municipality,25.675065,-100.318465,POINT (-100.318465 25.675065),166480,Mexico,70,Americas,2,5,01/01/2013 00:00:00,02/21/2013 00:00:00,0,0,0,79,79,79,0,
68616,,2013,True,Clear,2,5546,4936,Los Zetas - Sinaloa Cartel,5546,5546,Los Zetas - Sinaloa Cartel,1088,1088,Los Zetas,775,775,Sinaloa Cartel,1,"""EFE News Service,2013-02-25,5 People murdered in northern Mexico""",EFE News Service,2013-02-25,5 People murdered in northern Mexico,Durango Attorney General's Office ,1,Lerdo town,,Durango state,Lerdo municipality,25.535383,-103.525242,POINT (-103.525242 25.535383),166473,Mexico,70,Americas,1,1,02/24/2013 00:00:00,02/24/2013 00:00:00,0,0,1,4,5,5,5,
68620,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,1,"""EFE News Service,2013-03-01,6 Bodies found in Mexico, including teenage boy earlier arrested for murder""",EFE News Service,2013-03-01,"6 Bodies found in Mexico, including teenage boy earlier arrested for murder",Zacatecas state prosecutor's office,2,Vetagrande town,,Zacatecas state,Vetagrande municipality,22.834020,-102.556090,POINT (-102.556090 22.834020),162155,Mexico,70,Americas,1,1,02/28/2013 00:00:00,02/28/2013 00:00:00,0,0,0,6,6,6,6,
68665,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,4,"""Reuters News,2013-03-15,Six killed in bar shooting in Mexican resort of Cancun"";""EFE News Service,2013-03-15,7 Die in armed attack in Mexican resort city"";""Borderland Beat,2013-03-18, Zetas: Slaughter in Cancún"";""The Yucatan times ,2013-04-18,Gulf Cartel removed “Zetas” in Cancun: Attorney General""",Reuters News;EFE News Service;Borderland Beat;The Yucatan times ,2013-03-15;2013-03-15;2013-03-18;2013-04-18,Six killed in bar shooting in Mexican resort of Cancun;7 Die in armed attack in Mexican resort city; Zetas: Slaughter in Cancún;Gulf Cartel removed “Zetas” in Cancun: Attorney General,state's attorney general ,2,Cancún town,,Quintana Roo state,Benito Juárez municipality,21.165586,-86.854012,POINT (-86.854012 21.165586),160027,Mexico,70,Americas,1,1,03/14/2013 00:00:00,03/14/2013 00:00:00,0,0,0,7,7,7,7,
71510,,2013,True,Clear,2,5262,4652,Juarez Cartel - Sinaloa Cartel,5262,5262,Juarez Cartel - Sinaloa Cartel,793,793,Juarez Cartel,775,775,Sinaloa Cartel,3,"""Agence France Presse,2013-03-29,Seven killed in Mexican bar shooting"";""Reuters News,2013-03-29,Seven killed in northern Mexican bar shooting"";""Borderland Beat,2013-03-29,7 killed, 3 women in Chihuahua Bar """,Agence France Presse;Reuters News;Borderland Beat,2013-03-29;2013-03-29;2013-03-29,"Seven killed in Mexican bar shooting;Seven killed in northern Mexican bar shooting;7 killed, 3 women in Chihuahua Bar ",prosecutor's office ,1,Chihuahua town,,Chihuahua state,Chihuahua municipality,28.633333,-106.083333,POINT (-106.083333 28.633333),170788,Mexico,70,Americas,1,2,03/28/2013 00:00:00,03/29/2013 00:00:00,0,0,0,7,7,7,7,
71511,,2013,True,Clear,2,11662,11052,Jalisco Cartel New Generation - Los Caballeros Templarios,11662,11662,Jalisco Cartel New Generation - Los Caballeros Templarios,1151,1151,Jalisco Cartel New Generation,1150,1150,Los Caballeros Templarios,1,"""Agence France Presse,2013-04-01,Four killed in Guadalajara bar shootings""",Agence France Presse,2013-04-01,Four killed in Guadalajara bar shootings,Jalisco state prosecutor's ,1,Guadalajara town,,Jalisco state,Guadalajara municipality,20.666823,-103.391824,POINT (-103.391824 20.666823),159274,Mexico,70,Americas,1,1,03/31/2013 00:00:00,03/31/2013 00:00:00,0,0,0,0,0,2,0,
71512,,2013,True,Clear,2,11662,11052,Jalisco Cartel New Generation - Los Caballeros Templarios,11662,11662,Jalisco Cartel New Generation - Los Caballeros Templarios,1151,1151,Jalisco Cartel New Generation,1150,1150,Los Caballeros Templarios,2,"""Agence France Presse,2013-04-01,Four killed in Guadalajara bar shootings"";""Agence France Presse,2013-04-02,US man among five dead in Mexico bar shootings""",Agence France Presse;Agence France Presse,2013-04-01;2013-04-02,Four killed in Guadalajara bar shootings;US man among five dead in Mexico bar shootings,city police,1,Guadalajara town,,Jalisco state,Guadalajara municipality,20.666823,-103.391824,POINT (-103.391824 20.666823),159274,Mexico,70,Americas,1,1,03/31/2013 00:00:00,03/31/2013 00:00:00,0,0,0,0,0,3,0,
71513,,2013,True,Clear,2,11662,11052,Jalisco Cartel New Generation - Los Caballeros Templarios,11662,11662,Jalisco Cartel New Generation - Los Caballeros Templarios,1151,1151,Jalisco Cartel New Generation,1150,1150,Los Caballeros Templarios,1,"""Agence France Presse,2013-04-01,Four killed in Guadalajara bar shootings""",Agence France Presse,2013-04-01,Four killed in Guadalajara bar shootings,,1,Guadalajara town,,Jalisco state,Guadalajara municipality,20.666823,-103.391824,POINT (-103.391824 20.666823),159274,Mexico,70,Americas,1,1,03/31/2013 00:00:00,03/31/2013 00:00:00,0,0,0,0,0,4,0,
71516,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,1,"""Agence France Presse,2013-04-02,Nine bodies found in US vehicle in Mexico""",Agence France Presse,2013-04-02,Nine bodies found in US vehicle in Mexico,state prosecutor's office ,2,Ciudad Victoria,,Tamaulipas state,Victoria municipality,23.741744,-99.145993,POINT (-99.145993 23.741744),163602,Mexico,70,Americas,1,1,03/31/2013 00:00:00,03/31/2013 00:00:00,0,0,0,9,9,9,9,
83854,,2013,True,Clear,2,5262,4652,Juarez Cartel - Sinaloa Cartel,5262,5262,Juarez Cartel - Sinaloa Cartel,793,793,Juarez Cartel,775,775,Sinaloa Cartel,1,"""EFE News Service,2013-04-05,Murder victims dumped on road in northern Mexico""",EFE News Service,2013-04-05,Murder victims dumped on road in northern Mexico,state Attorney General's Office spokesman,5,Road between Parral and Guadalupe y Calvo,,Chihuahua state,,26.540900,-106.329290,POINT (-106.329290 26.540900),167908,Mexico,70,Americas,1,1,04/04/2013 00:00:00,04/04/2013 00:00:00,0,0,0,4,4,4,4,
