id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
51779,,2004,True,Clear,3,388,540,LeJ - Civilians,388,1007,LeJ - Civilians,388,388,LeJ,9999,1,Civilians,-1,"Pakistan TV 1 31/5 (MIPT) /SATP Pakistan: Terrorist Groups, LeJ available at http://www.satp.org/satporgtp/countries/pakistan/terroristoutfits/lej.htm, cited 2009-08-27",,,,,1,Karachi Town,,Sindh Province,Karachi District,24.860000,67.010000,POINT (67.010000 24.860000),165375,Pakistan,770,Asia,1,1,05/31/2004 00:00:00,05/31/2004 00:00:00,0,0,21,0,21,24,21,
51783,,2008,True,Clear,3,356,530,TTP - Civilians,356,997,TTP - Civilians,356,356,TTP,9999,1,Civilians,-1,"The Nation website, Islamabad, in English 27 Jan 08",,,,,2,Khwaezai Area,,Federally Administered Tribal Areas,Mohmand Agency,34.399100,71.264700,POINT (71.264700 34.399100),179063,Pakistan,770,Asia,1,1,01/26/2008 00:00:00,01/26/2008 00:00:00,0,0,0,0,0,1,0,
51785,,2008,True,Clear,2,5198,4588,Bangesh - Turi,5198,5198,Bangesh - Turi,790,790,Bangesh,791,791,Turi,-1,"sGeo TV website, Karachi, in English 05 Aug 08",,,,,2,Baliamin Area,,Federally Administered Tribal Areas,Kurram Agency,33.565876,70.313084,POINT (70.313084 33.565876),178341,Pakistan,770,Asia,1,1,08/05/2008 00:00:00,08/05/2008 00:00:00,0,2,0,0,2,2,2,
51786,,2008,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Dawn website, Karachi, in English 27 Aug 08",,,,,1,Shah Dara Town,,Khyber Pakhtunkwa Province,Swat District,34.785981,72.363073,POINT (72.363073 34.785981),179785,Pakistan,770,Asia,1,1,08/27/2008 00:00:00,08/27/2008 00:00:00,0,0,0,1,1,1,1,
51787,,2008,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"sGeo TV website, Karachi, in English 01 Oct 08",,,,government officials,1,Mamund Town,,Federally Administered Tribal Areas,Bajaur Agency,34.814722,71.421667,POINT (71.421667 34.814722),179783,Pakistan,770,Asia,1,1,09/30/2008 00:00:00,09/30/2008 00:00:00,0,0,0,5,5,5,5,
51792,,2009,True,Clear,1,325,325,Pakistan:Balochistan,709,709,Government of Pakistan - BLA,142,142,Government of Pakistan,287,287,BLA,-1,"Daily Times website, Lahore, in English 08 Feb 09",,,,,1,Quetta Town,,Balochistan Province,Quetta District,30.183333,67.000000,POINT (67.000000 30.183333),173295,Pakistan,770,Asia,1,1,02/07/2009 00:00:00,02/07/2009 00:00:00,1,0,0,0,1,1,1,
51794,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Daily Times website, Lahore, in English 09 May 09",,,,,2,Kanju Town,,Khyber Pakhtunkwa Province,Swat District,34.801035,72.343548,POINT (72.343548 34.801035),179785,Pakistan,770,Asia,1,1,05/08/2009 00:00:00,05/08/2009 00:00:00,0,0,0,5,5,5,5,
51795,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1557gmt 18 May 09",,,,,1,Mam Dherai Town,,Khyber Pakhtunkwa Province,Swat District,34.799205,72.381490,POINT (72.381490 34.799205),179785,Pakistan,770,Asia,1,1,05/18/2009 00:00:00,05/18/2009 00:00:00,0,0,0,10,10,15,10,
51796,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1134gmt 07 Jun 09",,,,ISPR spokesman,1,Balakot Town,,Khyber Pakhtunkwa Province,Mansehra District,34.550000,73.350000,POINT (73.350000 34.550000),179787,Pakistan,770,Asia,1,1,06/07/2009 00:00:00,06/07/2009 00:00:00,0,2,0,0,2,2,2,
51798,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1230gmt 30 Jun 09",,,,,2,Matta Town,,Khyber Pakhtunkwa Province,Swat District,35.093056,72.309722,POINT (72.309722 35.093056),180505,Pakistan,770,Asia,1,1,06/30/2009 00:00:00,06/30/2009 00:00:00,0,0,0,8,8,8,8,
51801,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"The News website, Islamabad, in English 27 Aug 09",,,,ISPR,3,Swat District,,Khyber Pakhtunkwa Province,Swat District,35.241602,72.499333,POINT (72.499333 35.241602),180505,Pakistan,770,Asia,1,1,08/27/2009 00:00:00,08/27/2009 00:00:00,0,0,0,3,3,3,3,
51803,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 0000gmt 21 Oct 09",,,,ISPR,1,Khaisorah village,,Federally Administered Tribal Areas,South Waziristan,32.409462,69.669466,POINT (69.669466 32.409462),176180,Pakistan,770,Asia,1,1,10/21/2009 00:00:00,10/21/2009 00:00:00,0,0,0,8,8,8,8,
51805,,2009,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,AP 23/11,,,,,1,Shahu Khel Town,,Khyber Pakhtunkwa Province,Hangu District,33.588611,71.122500,POINT (71.122500 33.588611),178343,Pakistan,770,Asia,1,1,11/23/2009 00:00:00,11/23/2009 00:00:00,0,0,0,18,18,18,18,
51807,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,ISPR,2,Mora Kandao Area,,Khyber Pakhtunkwa Province,Swat District,34.586997,72.110561,POINT (72.110561 34.586997),179785,Pakistan,770,Asia,1,1,01/05/2010 00:00:00,01/05/2010 00:00:00,0,3,0,0,3,3,3,
51808,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,Military Operation Major General Sajjad Ghani,1,Ghanam Shah Town,,Federally Administered Tribal Areas,Mohmand Agency,34.614393,71.182386,POINT (71.182386 34.614393),179783,Pakistan,770,Asia,1,1,01/12/2010 00:00:00,01/12/2010 00:00:00,1,4,0,0,5,5,5,
51810,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) SATP Pakistan datasheet

(2) Pakistan troops, local militia kill 12 insurgents in Bajaur tribal area
28 January 2010
BBC Monitoring",,,,official of district administration,1,Chinar Town,,Federally Administered Tribal Areas,Bajaur Agency,34.744325,71.286576,POINT (71.286576 34.744325),179783,Pakistan,770,Asia,1,1,01/27/2010 00:00:00,01/27/2010 00:00:00,1,12,0,0,13,13,13,
51811,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Mamund Town,,Federally Administered Tribal Areas,Bajaur Agency,34.814722,71.421667,POINT (71.421667 34.814722),179783,Pakistan,770,Asia,1,1,02/05/2010 00:00:00,02/05/2010 00:00:00,0,2,0,0,2,1,1,
51813,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,1,"""BBC Monitoring South Asia,2010-03-04,Pakistan forces complete two phases of operation in Peshawar""",BBC Monitoring South Asia,2010-03-04,Pakistan forces complete two phases of operation in Peshawar,"Safwat Ghayyur, commandant of the Frontier Constabulary (FC)",3,FR Peshawar,,Federally Administered Tribal Areas,FR Peshawar,33.740965,71.745991,POINT (71.745991 33.740965),178344,Pakistan,770,Asia,2,4,02/24/2010 00:00:00,03/03/2010 00:00:00,0,19,0,0,19,19,19,
51815,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Anjani Town,,Federally Administered Tribal Areas,Orakzai Agency,33.778911,71.112119,POINT (71.112119 33.778911),178343,Pakistan,770,Asia,1,1,03/22/2010 00:00:00,03/22/2010 00:00:00,0,5,0,0,5,5,5,
51816,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Palai Town,,Khyber Pakhtunkwa Province,Malakand District,34.512222,72.081111,POINT (72.081111 34.512222),179785,Pakistan,770,Asia,1,1,04/04/2010 00:00:00,04/04/2010 00:00:00,0,3,0,0,3,3,3,
51817,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Two members of local peace council shot dead in Pakistan's Swat
20 April 2010
BBC Monitoring",,,,,2,Kozabanda Town,,Khyber Pakhtunkwa Province,Swat District,34.817749,72.373930,POINT (72.373930 34.817749),179785,Pakistan,770,Asia,1,1,04/19/2010 00:00:00,04/19/2010 00:00:00,2,0,0,0,2,2,2,
51818,,2010,True,Clear,1,404,404,Pakistan:Government,11336,11336,Government of Pakistan - Lashkar-e-Islam,142,142,Government of Pakistan,399,399,Lashkar-e-Islam,-1,SATP,,,,,2,Bara Town,,Federally Administered Tribal Areas,Khyber Agency,33.914722,71.468056,POINT (71.468056 33.914722),178343,Pakistan,770,Asia,1,1,04/27/2010 00:00:00,04/27/2010 00:00:00,0,2,0,0,2,2,2,
51819,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistani troops kill 11 militants in Orakzai tribal area - sources
9 May 2010
BBC Monitoring",,,,"Tehrik-e-Taliban Pakistan spokesman for Orakzai Agency, Hafiz Saeed",2,Shahu Khel Town,,Khyber Pakhtunkwa Province,Hangu District,33.588611,71.122500,POINT (71.122500 33.588611),178343,Pakistan,770,Asia,1,1,05/08/2010 00:00:00,05/08/2010 00:00:00,0,4,0,0,4,4,4,
